inbound_id,outbound_id,tail,inbound_date,inbound_flight,inbound_origin,outbound_date,outbound_flight,outbound_origin,outbound_destination,actual_inbound_arrival_utc,actual_outbound_departure_utc,actual_ground_gap_minutes,scheduled_outbound_departure_utc,remaining_minutes_at_arrival,outbound_departure_delay_minutes,outbound_delay_ge_15,gap_band,has_next_observed,feb_outbound,december_predecessor,accepted,primary_reason,warnings,short_turn
2024-01_reporting.csv:7249,2024-01_reporting.csv:7252,N215NN,2024-01-01,3317,IAH,2024-01-01,3821,ORD,IND,2024-01-01T21:49:00+00:00,2024-01-01T22:51:00+00:00,62.0,2024-01-01T22:52:00+00:00,63.0,-1.0,False,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7251,2024-01_reporting.csv:7250,N215NN,2024-01-01,3821,IND,2024-01-01,3739,ORD,TUL,2024-01-02T01:37:00+00:00,2024-01-02T02:42:00+00:00,65.0,2024-01-02T02:45:00+00:00,68.0,-3.0,False,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7253,2024-01_reporting.csv:7248,N215NN,2024-01-01,4088,XNA,2024-01-01,3315,ORD,IAH,2024-01-01T15:02:00+00:00,2024-01-01T15:59:00+00:00,57.0,2024-01-01T15:49:00+00:00,47.0,10.0,False,"(15,180]",True,False,True,True,accepted,,True
2024-01_reporting.csv:7254,2024-01_reporting.csv:7258,N216NN,2024-01-01,3418,AUS,2024-01-01,3648,ORD,GSO,2024-01-01T23:38:00+00:00,2024-01-02T00:31:00+00:00,53.0,2024-01-02T00:37:00+00:00,59.0,-6.0,False,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7269,2024-01_reporting.csv:7273,N221NN,2024-01-01,3751,FAR,2024-01-01,3866,ORD,BNA,2024-01-01T15:07:00+00:00,2024-01-01T15:56:00+00:00,49.0,2024-01-01T16:00:00+00:00,53.0,-4.0,False,"(15,180]",True,False,True,True,accepted,,True
2024-01_reporting.csv:7270,2024-01_reporting.csv:7268,N221NN,2024-01-01,3780,CID,2024-01-01,3578,ORD,XNA,2024-01-01T23:33:00+00:00,2024-01-02T00:29:00+00:00,56.0,2024-01-02T00:30:00+00:00,57.0,-1.0,False,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7272,2024-01_reporting.csv:7271,N221NN,2024-01-01,3866,BNA,2024-01-01,3780,ORD,CID,2024-01-01T19:38:00+00:00,2024-01-01T20:34:00+00:00,56.0,2024-01-01T20:41:00+00:00,63.0,-7.0,False,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7338,2024-01_reporting.csv:7340,N234JW,2024-01-01,3757,ICT,2024-01-01,3808,ORD,HPN,2024-01-01T16:54:00+00:00,2024-01-01T18:50:00+00:00,116.0,2024-01-01T18:52:00+00:00,118.0,-2.0,False,"(15,180]",True,False,True,True,accepted,,True
2024-01_reporting.csv:7339,2024-01_reporting.csv:7337,N234JW,2024-01-01,3808,HPN,2024-01-01,3324,ORD,SYR,2024-01-01T23:48:00+00:00,2024-01-02T01:27:00+00:00,99.0,2024-01-02T01:30:00+00:00,102.0,-3.0,False,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7373,2024-01_reporting.csv:7376,N240NN,2024-01-01,3514,FAR,2024-01-01,3775,ORD,BNA,2024-01-01T20:26:00+00:00,2024-01-01T21:34:00+00:00,68.0,2024-01-01T21:40:00+00:00,74.0,-6.0,False,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7375,2024-01_reporting.csv:7372,N240NN,2024-01-01,3775,BNA,2024-01-01,3384,ORD,CMH,2024-01-02T01:40:00+00:00,2024-01-02T02:12:00+00:00,32.0,2024-01-02T02:15:00+00:00,35.0,-3.0,False,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7377,2024-01_reporting.csv:7374,N240NN,2024-01-01,3835,GRB,2024-01-01,3514,ORD,FAR,2024-01-01T14:33:00+00:00,2024-01-01T16:05:00+00:00,92.0,2024-01-01T15:55:00+00:00,82.0,10.0,False,"(15,180]",True,False,True,True,accepted,,True
2024-01_reporting.csv:7476,2024-01_reporting.csv:7474,N258NN,2024-01-01,3611,XNA,2024-01-01,3499,ORD,HPN,2024-01-01T23:35:00+00:00,2024-01-02T01:52:00+00:00,137.0,2024-01-02T00:41:00+00:00,66.0,71.0,True,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7477,2024-01_reporting.csv:7475,N258NN,2024-01-01,3673,GSO,2024-01-01,3581,ORD,XNA,2024-01-01T14:27:00+00:00,2024-01-01T19:14:00+00:00,287.0,2024-01-01T19:15:00+00:00,288.0,-1.0,False,"(180,360]",True,False,True,True,accepted,,False
2024-01_reporting.csv:7483,2024-01_reporting.csv:7482,N261NN,2024-01-01,3769,ATL,2024-01-01,3748,ORD,CID,2024-01-02T01:46:00+00:00,2024-01-02T02:27:00+00:00,41.0,2024-01-02T02:30:00+00:00,44.0,-3.0,False,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7485,2024-01_reporting.csv:7484,N261NN,2024-01-01,3942,CMH,2024-01-01,3769,ORD,ATL,2024-01-01T12:44:00+00:00,2024-01-01T21:21:00+00:00,517.0,2024-01-01T20:59:00+00:00,495.0,22.0,True,>360,True,False,True,True,accepted,,False
2024-01_reporting.csv:7544,2024-01_reporting.csv:7546,N274NN,2024-01-01,3740,SYR,2024-01-01,3877,ORD,ELP,2024-01-01T14:38:00+00:00,2024-01-01T16:06:00+00:00,88.0,2024-01-01T16:10:00+00:00,92.0,-4.0,False,"(15,180]",True,False,True,True,accepted,,True
2024-01_reporting.csv:7545,2024-01_reporting.csv:7543,N274NN,2024-01-01,3877,ELP,2024-01-01,3621,ORD,GSP,2024-01-01T23:05:00+00:00,2024-01-02T00:16:00+00:00,71.0,2024-01-02T00:20:00+00:00,75.0,-4.0,False,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7549,2024-01_reporting.csv:25869,N275NN,2024-01-01,3871,BOS,2024-01-02,3703,ORD,BOS,2024-01-02T00:27:00+00:00,2024-01-02T13:13:00+00:00,766.0,2024-01-02T13:15:00+00:00,768.0,-2.0,False,>360,True,False,False,True,accepted,,False
2024-01_reporting.csv:7592,2024-01_reporting.csv:7590,N283NN,2024-01-01,3710,GSP,2024-01-01,3703,ORD,BOS,2024-01-01T13:11:00+00:00,2024-01-01T13:46:00+00:00,35.0,2024-01-01T13:25:00+00:00,14.0,21.0,True,"(15,180]",True,False,True,True,accepted,,True
2024-01_reporting.csv:7719,2024-01_reporting.csv:7724,N635RW,2024-01-01,3321,DSM,2024-01-01,3695,ORD,LIT,2024-01-02T01:06:00+00:00,2024-01-02T02:10:00+00:00,64.0,2024-01-02T02:20:00+00:00,74.0,-10.0,False,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7721,2024-01_reporting.csv:7723,N635RW,2024-01-01,3517,PVD,2024-01-01,3679,ORD,BWI,2024-01-01T14:21:00+00:00,2024-01-01T16:01:00+00:00,100.0,2024-01-01T16:01:00+00:00,100.0,0.0,False,"(15,180]",True,False,True,True,accepted,,True
2024-01_reporting.csv:7722,2024-01_reporting.csv:7720,N635RW,2024-01-01,3679,BWI,2024-01-01,3321,ORD,DSM,2024-01-01T20:23:00+00:00,2024-01-01T21:42:00+00:00,79.0,2024-01-01T21:47:00+00:00,84.0,-5.0,False,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7726,2024-01_reporting.csv:7729,N636RW,2024-01-01,3609,CMI,2024-01-01,3849,ORD,SGF,2024-01-01T14:42:00+00:00,2024-01-01T15:55:00+00:00,73.0,2024-01-01T16:00:00+00:00,78.0,-5.0,False,"(15,180]",True,False,True,True,accepted,,True
2024-01_reporting.csv:7728,2024-01_reporting.csv:7725,N636RW,2024-01-01,3741,SDF,2024-01-01,3580,ORD,BUF,2024-01-01T23:58:00+00:00,2024-01-02T00:40:00+00:00,42.0,2024-01-02T00:40:00+00:00,42.0,0.0,False,"(15,180]",True,False,False,True,accepted,,True
2024-01_reporting.csv:7730,2024-01_reporting.csv:7727,N636RW,2024-01-01,3849,SGF,2024-01-01,3741,ORD,SDF,2024-01-01T19:50:00+00:00,2024-01-01T20:45:00+00:00,55.0,2024-01-01T20:44:00+00:00,54.0,1.0,False,"(15,180]",True,False,False,True,accepted,,True
