airport,iana_timezone,source
AAA,Pacific/Tahiti,OpenFlights airports.dat
AAC,Africa/Cairo,OpenFlights airports.dat
AAE,Africa/Algiers,OpenFlights airports.dat
AAF,America/New_York,OpenFlights airports.dat
AAH,Europe/Berlin,OpenFlights airports.dat
AAL,Europe/Copenhagen,OpenFlights airports.dat
AAM,Africa/Johannesburg,OpenFlights airports.dat
AAN,Asia/Dubai,OpenFlights airports.dat
AAO,America/Caracas,OpenFlights airports.dat
AAP,America/Chicago,OpenFlights airports.dat
AAQ,Europe/Moscow,OpenFlights airports.dat
AAR,Europe/Copenhagen,OpenFlights airports.dat
AAT,Asia/Shanghai,OpenFlights airports.dat
AAX,America/Sao_Paulo,OpenFlights airports.dat
AAY,Asia/Aden,OpenFlights airports.dat
AAZ,America/Guatemala,OpenFlights airports.dat
ABA,Asia/Krasnoyarsk,OpenFlights airports.dat
ABB,Africa/Lagos,OpenFlights airports.dat
ABC,Europe/Madrid,OpenFlights airports.dat
ABD,Asia/Tehran,OpenFlights airports.dat
ABE,America/New_York,OpenFlights airports.dat
ABF,Pacific/Tarawa,OpenFlights airports.dat
ABI,America/Chicago,OpenFlights airports.dat
ABJ,Africa/Abidjan,OpenFlights airports.dat
ABK,Africa/Addis_Ababa,OpenFlights airports.dat
ABL,America/Anchorage,OpenFlights airports.dat
ABM,Australia/Brisbane,OpenFlights airports.dat
ABN,America/Paramaribo,OpenFlights airports.dat
ABQ,America/Denver,OpenFlights airports.dat
ABR,America/Chicago,OpenFlights airports.dat
ABS,Africa/Cairo,OpenFlights airports.dat
ABT,Asia/Riyadh,OpenFlights airports.dat
ABV,Africa/Lagos,OpenFlights airports.dat
ABX,Australia/Sydney,OpenFlights airports.dat
ABY,America/New_York,OpenFlights airports.dat
ABZ,Europe/London,OpenFlights airports.dat
ACA,America/Mexico_City,OpenFlights airports.dat
ACC,Africa/Accra,OpenFlights airports.dat
ACD,America/Bogota,OpenFlights airports.dat
ACE,Atlantic/Canary,OpenFlights airports.dat
